epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.541,1.63175,2.94278,1.52422,0.49596,0.41018,0.39659,0.1837,1.54666,7.87034,1.42361,0.00332955,0.00332955,0.00332955
2,367.748,1.65025,2.14175,1.50325,0.40689,0.36855,0.31288,0.14014,1.70981,8.07879,1.55822,0.00653096,0.00653096,0.00653096
3,543.48,1.73026,2.00253,1.56981,0.37397,0.34834,0.28344,0.11139,1.96133,4.86339,1.69816,0.00960037,0.00960037,0.00960037
4,717.724,1.77466,1.97204,1.62328,0.48468,0.37318,0.36486,0.16231,1.76994,4.0798,1.70457,0.009406,0.009406,0.009406
5,892.005,1.72006,1.84105,1.57896,0.52678,0.46053,0.463,0.22306,1.57325,3.7188,1.4371,0.009208,0.009208,0.009208
6,1066.38,1.68163,1.7592,1.55383,0.60512,0.48267,0.52753,0.26416,1.52886,3.32167,1.40593,0.00901,0.00901,0.00901
7,1241.64,1.62955,1.67243,1.51148,0.58969,0.52861,0.5531,0.28235,1.4825,3.96959,1.39573,0.008812,0.008812,0.008812
8,1416.47,1.62124,1.6257,1.50836,0.62372,0.52753,0.57235,0.29066,1.47367,2.47022,1.36552,0.008614,0.008614,0.008614
9,1591.33,1.59095,1.57555,1.4874,0.6268,0.54002,0.57998,0.29841,1.48951,2.38365,1.36269,0.008416,0.008416,0.008416
10,1765.64,1.57324,1.53645,1.47108,0.62323,0.5602,0.60194,0.31472,1.45724,2.17126,1.3312,0.008218,0.008218,0.008218
11,1939.92,1.55728,1.50434,1.45499,0.63713,0.56402,0.61186,0.32532,1.42007,1.91768,1.30818,0.00802,0.00802,0.00802
12,2114.75,1.54136,1.4958,1.45774,0.62604,0.58078,0.61578,0.32556,1.42719,2.01044,1.33007,0.007822,0.007822,0.007822
13,2289.24,1.52586,1.43519,1.43744,0.6383,0.60084,0.63614,0.34022,1.40028,2.21554,1.29873,0.007624,0.007624,0.007624
14,2463.5,1.50536,1.40962,1.42528,0.65059,0.60702,0.66097,0.35525,1.36927,2.01036,1.26972,0.007426,0.007426,0.007426
15,2637.65,1.50231,1.40049,1.42113,0.65888,0.61385,0.65451,0.35598,1.37643,1.68946,1.28686,0.007228,0.007228,0.007228
16,2812.47,1.48867,1.39229,1.41706,0.68911,0.59801,0.66073,0.363,1.36899,1.61998,1.2721,0.00703,0.00703,0.00703
17,2986.9,1.48269,1.34914,1.40912,0.67923,0.61374,0.67422,0.37353,1.34399,2.00238,1.25963,0.006832,0.006832,0.006832
18,3161.75,1.4751,1.34586,1.40213,0.67159,0.61959,0.6761,0.37341,1.35787,1.5924,1.2588,0.006634,0.006634,0.006634
19,3336.64,1.46121,1.33552,1.39404,0.72689,0.62023,0.6968,0.38552,1.33913,1.59537,1.24416,0.006436,0.006436,0.006436
20,3510.09,1.45522,1.31557,1.38577,0.69773,0.63013,0.69067,0.38709,1.33287,1.64189,1.23898,0.006238,0.006238,0.006238
21,3684.85,1.45246,1.30591,1.38431,0.70252,0.63777,0.69909,0.39103,1.33171,1.47587,1.24541,0.00604,0.00604,0.00604
22,3859.59,1.43592,1.28953,1.37089,0.71534,0.64086,0.7034,0.39362,1.32966,1.42256,1.24148,0.005842,0.005842,0.005842
23,4034.1,1.43151,1.27293,1.36757,0.70536,0.65792,0.71346,0.40261,1.29975,1.47734,1.22047,0.005644,0.005644,0.005644
24,4210.63,1.41825,1.25684,1.3579,0.70895,0.63938,0.70763,0.40354,1.30179,1.44361,1.22947,0.005446,0.005446,0.005446
25,4387.75,1.41888,1.25871,1.36072,0.7257,0.65631,0.71973,0.4089,1.3164,1.46188,1.22567,0.005248,0.005248,0.005248
26,4562.41,1.41371,1.23097,1.35785,0.72422,0.65146,0.72408,0.41026,1.30636,1.35505,1.22145,0.00505,0.00505,0.00505
27,4736.54,1.39114,1.21928,1.3473,0.74409,0.64983,0.72512,0.41562,1.28961,1.36433,1.212,0.004852,0.004852,0.004852
28,4910.48,1.38671,1.19122,1.34018,0.73626,0.65029,0.72456,0.41952,1.28876,1.28387,1.21069,0.004654,0.004654,0.004654
29,5084.41,1.38492,1.19623,1.33632,0.71544,0.66578,0.72734,0.41938,1.26473,1.40925,1.19232,0.004456,0.004456,0.004456
30,5257.48,1.37143,1.17466,1.3297,0.73924,0.66376,0.73662,0.42572,1.27983,1.25476,1.20336,0.004258,0.004258,0.004258
31,5430.91,1.36539,1.14787,1.32691,0.75151,0.66337,0.74002,0.42909,1.27692,1.24846,1.20698,0.00406,0.00406,0.00406
